timestamp,key,f1_tariff,f2_kwh_day,f3_kwh_max_30min,f4_kwh_median_30min,f5_kwh_p90_30min,f6_kwh_stdev_30min,f7_evening_share,f8_night_share,f9_load_factor,f10_peak_half_hour_slot,f11_zero_half_hour_count
1350082800000,MAC000082,1,5.6710001,1.7410001,0.051,0.238,0.27222778084,0.579262924012,0.263974602998,0.067860900994,34,0
1350082800000,MAC000088,1,17.138,0.908,0.314,0.645,0.192102073381,0.341871863695,0.126327459447,0.393217694567,32,0
1350082800000,MAC000106,1,15.245,1.114,0.2865,0.535,0.197133281858,0.368842243358,0.0953755329616,0.285102483543,36,0
1350082800000,MAC000107,1,7.605,0.615,0.097,0.349,0.133082822935,0.199211045365,0.0958579881657,0.25762195122,26,0
1350082800000,MAC000109,1,5.996,0.407,0.0955,0.213,0.0743241305963,0.332721814543,0.150600400267,0.306920556921,25,0
1350082800000,MAC000124,1,10.235,0.657,0.195,0.311,0.106386332061,0.316267708842,0.162481680508,0.324549720954,21,0
1350082800000,MAC000139,1,21.119,1.316,0.368,0.715,0.232153549185,0.301055921208,0.159335195795,0.334330673759,12,0
1350082800000,MAC000141,1,2.754,0.174,0.071,0.1,0.0427456747325,0.392156862745,0.384168482208,0.32974137931,7,8
1350082800000,MAC000146,1,5.77,0.43,0.095,0.186,0.0714690953995,0.307452339688,0.161525129983,0.279554263566,17,0
1350082800000,MAC000147,1,5.256,0.207,0.0985,0.184,0.0513837685137,0.323820395738,0.150684931507,0.528985507246,14,0
1350082800000,MAC000158,1,3.295,0.203,0.0535,0.122,0.0470188302631,0.347192716237,0.134142640364,0.33815681445,25,0
1350082800000,MAC000165,1,8.762,0.909,0.129,0.296,0.135106124697,0.450696188085,0.146313627026,0.200815914925,36,0
1350082800000,MAC000170,1,13.227,0.814,0.246,0.393,0.152430299133,0.405231722991,0.150676646254,0.338528869779,38,0
1350082800000,MAC000173,1,6.419,0.696,0.086,0.253,0.137133867016,0.332450537467,0.0889546658358,0.19213960728,19,0
1350082800000,MAC000186,1,3.103,0.203,0.052,0.133,0.0453148658386,0.384466645182,0.151144054141,0.318452380952,41,0
1350082800000,MAC000187,1,9.587,0.83,0.17,0.328,0.181049111613,0.311880671743,0.155627412121,0.240637550201,28,0
1350082800000,MAC000193,1,20.5179999,1.934,0.3195,1.095,0.438549640058,0.442002141739,0.0247587485367,0.221022922053,16,0
1350082800000,MAC000194,1,10.386,0.876,0.1145,0.466,0.207147956885,0.408145580589,0.102060466012,0.247003424658,36,0
1350082800000,MAC000195,1,21.04,0.734,0.5005,0.556,0.181904317034,0.256939163498,0.195152091255,0.597184377838,30,0
1350082800000,MAC000198,1,5.204,1.025,0.0605,0.189,0.147919154909,0.36145272867,0.144119907763,0.105772357724,44,0
1350082800000,MAC000219,1,7.63,0.534,0.1515,0.215,0.0987064161908,0.268283093054,0.138401048493,0.297674781523,27,0
1350082800000,MAC000236,1,3.454,0.24,0.056,0.143,0.051404425204,0.375796178344,0.128257093225,0.299826388889,26,0
1350082800000,MAC000247,1,14.032,1.378,0.218,0.709,0.329112907002,0.232896237172,0.0612172177879,0.212143202709,31,0
1350082800000,MAC000257,1,23.975,0.843,0.461,0.659,0.141661567004,0.202544316997,0.296475495308,0.592501977066,18,0
1350082800000,MAC000259,1,12.228,1.074,0.186,0.544,0.232000853088,0.19259077527,0.0984625449787,0.237197392924,18,0
1350082800000,MAC000261,1,8.617,0.916,0.132,0.295,0.14460535225,0.472322153882,0.17836834165,0.195983442504,40,0
1350082800000,MAC000265,1,6.578,0.399,0.0705,0.282,0.100683488868,0.488446336272,0.0944055944056,0.343462823726,38,0
1350082800000,MAC000266,1,4.268,0.3,0.0815,0.127,0.0471331594763,0.272258669166,0.162605435801,0.296388888889,14,0
1350082800000,MAC000278,1,7.705,0.914,0.1425,0.253,0.16250230634,0.35574302401,0.10369889682,0.175624544128,17,0
1350082800000,MAC000286,1,11.128,0.521,0.217,0.32,0.0974594645082,0.295740474479,0.181973400431,0.444977607166,31,0
1350082800000,MAC000288,1,9.672,1.007,0.152,0.37,0.190848762113,0.207609594706,0.185380479735,0.200099304866,31,0
