LCLid,stdorToU,timestamp,KWH_day,KWH_max_30min,KWH_median_30min
MAC000022,Std,1350255600000,13.136,0.974,0.224
MAC000023,Std,1350255600000,20.9150001,1.692,0.459
MAC000024,Std,1350255600000,10.4359999,2.5139999,0.0835
MAC000025,Std,1350255600000,4.0050001,1.4170001,0.028
MAC000026,Std,1350255600000,16.0040001,1.6210001,0.206
MAC000027,Std,1350255600000,10.482,0.594,0.2075
MAC000028,Std,1350255600000,7.036,0.605,0.11
MAC000029,Std,1350255600000,3.993,0.357,0.064
MAC000030,Std,1350255600000,12.112,1.472,0.165
MAC000032,Std,1350255600000,12.443,1.008,0.162
MAC000033,Std,1350255600000,5.644,0.481,0.1025
MAC000034,Std,1350255600000,5.54,0.285,0.1115
MAC000035,Std,1350255600000,18.642,1.135,0.29
MAC000036,Std,1350255600000,2.594,0.242,0.0395
MAC000037,Std,1350255600000,0.813,0.812,0
MAC000038,Std,1350255600000,8.848,1.001,0.1315
MAC000039,Std,1350255600000,9.372,0.803,0.1555
MAC000040,Std,1350255600000,18.8830001,1.0470001,0.369
MAC000041,Std,1350255600000,8.719,0.911,0.1335
MAC000042,Std,1350255600000,13.3890001,2.0190001,0.1705
MAC000043,Std,1350255600000,3.269,0.167,0.0605
MAC000045,Std,1350255600000,19.262,1.687,0.234
MAC000047,Std,1350255600000,6.333,0.556,0.103
MAC000049,Std,1350255600000,35.3839998,3.497,0.3055
MAC000050,Std,1350255600000,19.005,1.883,0.2265
MAC000053,Std,1350255600000,7.113,0.71,0.0725
MAC000054,Std,1350255600000,8.169,0.389,0.142
MAC000055,Std,1350255600000,15.291,1.873,0.1825
MAC000056,Std,1350255600000,6.889,1.247,0.108
MAC000057,Std,1350255600000,10.362,0.485,0.1955
MAC000058,Std,1350255600000,2.666,0.277,0.0505
MAC000059,Std,1350255600000,17.802,0.956,0.37
MAC000060,Std,1350255600000,9.901,0.855,0.16
MAC000061,Std,1350255600000,4.846,0.3,0.047
MAC000062,Std,1350255600000,10.118,0.477,0.1905
MAC000063,Std,1350255600000,14.215,1.074,0.2125
MAC000066,Std,1350255600000,11.839,1.216,0.1555
MAC000067,Std,1350255600000,8.021,0.524,0.1365
MAC000068,Std,1350255600000,17.789,1.119,0.295
MAC000069,Std,1350255600000,6.662,0.309,0.138
MAC000326,Std,1350255600000,18.1190001,2.1730001,0.071
MAC000327,Std,1350255600000,13.935,1.217,0.1575
MAC000329,Std,1350255600000,11.523,0.719,0.22
MAC000330,Std,1350255600000,6.557,0.538,0.127
MAC000331,Std,1350255600000,19.7550001,2.7920001,0.1125
MAC000332,Std,1350255600000,11.383,0.568,0.2025
